transaction_id,account_id,customer_id,txn_time,txn_type,amount,currency,merchant,channel,country,status,is_fraud
TXN1001,ACC001,CUST001,2024-11-01 09:12:10,DEBIT,120.50,CAD,Amazon,ONLINE,CA,COMPLETED,0
TXN1002,ACC001,CUST001,2024-11-01 21:45:33,DEBIT,980.00,CAD,BestBuy,POS,CA,COMPLETED,0
TXN1003,ACC002,CUST002,2024-11-02 02:15:09,DEBIT,3500.00,USD,Unknown,ONLINE,US,COMPLETED,1
TXN1004,ACC003,CUST003,2024-11-02 08:10:45,CREDIT,2500.00,CAD,Payroll,TRANSFER,CA,COMPLETED,0
TXN1005,ACC002,CUST002,2024-11-02 02:18:55,DEBIT,3400.00,USD,Unknown,ONLINE,US,FAILED,1
TXN1006,ACC004,CUST004,2024-11-03 13:40:21,DEBIT,45.20,CAD,TimHortons,POS,CA,COMPLETED,0
TXN1007,ACC004,CUST004,2024-11-03 13:42:10,DEBIT,46.10,CAD,TimHortons,POS,CA,COMPLETED,0
TXN1008,ACC004,CUST004,2024-11-03 13:43:55,DEBIT,44.90,CAD,TimHortons,POS,CA,COMPLETED,0
TXN1009,ACC005,CUST005,2024-11-04 18:55:30,DEBIT,5200.00,EUR,Binance,ONLINE,MT,COMPLETED,1
TXN1010,ACC006,CUST006,2024-11-04 09:05:15,CREDIT,1800.00,CAD,Refund,TRANSFER,CA,COMPLETED,0
TXN1011,ACC001,CUST001,2024-11-05 07:20:05,DEBIT,15.99,CAD,Spotify,ONLINE,CA,COMPLETED,0
TXN1012,ACC002,CUST002,2024-11-05 03:55:40,DEBIT,3600.00,USD,Unknown,ONLINE,US,COMPLETED,1
TXN1013,ACC007,CUST007,2024-11-06 12:22:11,DEBIT,220.00,CAD,Apple,ONLINE,CA,COMPLETED,0
TXN1014,ACC008,CUST008,2024-11-06 01:11:02,DEBIT,8900.00,USD,Casino,ONLINE,US,COMPLETED,1
TXN1015,ACC009,CUST009,2024-11-07 16:45:00,DEBIT,75.00,CAD,Walmart,POS,CA,COMPLETED,0
TXN1016,ACC010,CUST010,2024-11-07 23:59:59,DEBIT,1500.00,CAD,Airbnb,ONLINE,CA,COMPLETED,0
TXN1017,ACC005,CUST005,2024-11-08 02:33:10,DEBIT,5300.00,EUR,Binance,ONLINE,MT,COMPLETED,1
TXN1018,ACC003,CUST003,2024-11-08 09:10:44,DEBIT,90.00,CAD,Loblaws,POS,CA,COMPLETED,0
TXN1019,ACC006,CUST006,2024-11-09 14:55:01,DEBIT,1300.00,CAD,FlightHub,ONLINE,CA,COMPLETED,0
TXN1020,ACC008,CUST008,2024-11-09 02:02:02,DEBIT,9100.00,USD,Casino,ONLINE,US,FAILED,1
